Name,Description,Script
Slushie,Inflicts [shiver]3 slush,inflict(~Slush~[;] 3); sfx(~_ice~);
Regenative Ablity,Gain [grace]1 regeneration,inflictself(~regeneration~[;] 1); sfx(~_cure~);
Hibernate,+[heal]2 health[;] +[shield]2 shield,attackself(-2); inflictself(SHIELD[;] 2); sfx(~_shield~); sfx(~_heal~);
Faith,30% chance to gain [reduce]6,if(chance(30)){ inflictself(REDUCE[;] 6); sfx(~_shield~); } else { self.textparticle(~No effect!~);
Candy Spear,Do [sword]2 dmg][;] +[heal]2 health,attack(2); sfxdamage(target[;] 2); attackself(-2); sfx(~_heal~);
AGAIN!,Take another turn,inflictself(EXTRATURN); sfx(~_thinghappens~);
Card Redraw,Reroll all random cards,self.destroyallequipment(); giveequipment([~Short Sword~][;]true[;]false); giveequipment([~Card Reroll~][;]true[;]false); giveequipment(rand(getequipmentlist(null[;][][;][~alternateversion~[;]~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~]))[;] -1); giveequipment(rand(getequipmentlist(null[;][][;][~alternateversion~[;]~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~]))[;] -1); sfx(~_thinghappens~);
Blue Flame,Do [ice]3 and [fire]3 damage,attack(3[;] ICE); attack(3[;] FIRE); sfx(~_fire~); sfx(~_ice~);
Snow Catapult,Do [ice]4 damage,attack(4[;] ICE); sfxdamage(target[;] 4); sfx(~_ice~);
Whelm (2 Uses),Do [sword]2 dmg[;] inflict [bleed],inflict(~Bleed~); sfx(~_poison~); attack(2); sfxdamage(target[;] 2); Gadget.changegadget(self[;] ~Whelm 2 Uses~[;] ~Whelm 1 Use~); Gadget.reactivate(self[;] ~Whelm 1 Use~);
Whelm (1 Use),Do [sword]2 dmg[;] inflict [bleed],inflict(~Bleed~); sfx(~_poison~); attack(2); sfxdamage(target[;] 2); Gadget.changegadget(self[;] ~Whelm 1 Use~[;] ~Whelm 0 Uses~); Gadget.reactivate(self[;] ~Whelm 0 Uses~);
Whelm (0 Uses),Get [quote]Whelm (2 Uses)[quote] next turn,jinx(~Gadget~[;]~Gain whelm 2 uses~[;]~Gain Whelm 2 uses~[;]~inflict(\~Whelm\~[;]%VAR%); sfx(\~_thinghappens\~);~[;]self[;]self[;]1[;]1); sfx(~_thinghappens~);
Boom!,[fire]2 dmg to both,attack(2[;]FIRE); sfx(~_fire~); attackself(2[;]FIRE);
Moderatewhelm,[sword]1 dmg[;] +1 each use,attack(1 + getstatusself(~moderatewhelm~)); inflictself(~moderatewhelm~); sfxdamage(target[;]1+getstatusself(~moderatewhelm~));
Coin Clippers,[]+[shield]1 per dice you have,var s = 0; for(d in self.dicepool){ if(d.available()){ s+=1; }; }; if(s > 0){ sfx(~_shield~); inflictself(SHIELD[;]s); };
Safeguard,Shield a random amount,var r = rand([2[;]3[;]3[;]3[;]3[;]4[;]4[;]5]); inflictself(SHIELD[;]r); sfx(~_shield~);
